Event_ID,Line,Station,TS,Part_No,Torque,Temp,Defect,VIN,Supplier,Work_Order,Tool_ID,Inspection_Source,Scrap_Reason,Energy_kWh,Pressure,Warranty_Claim,Plan_Production
EVT-00509, GA-2 , STN-02 ,02/11/2025 10:02:55,303-pqr,58.3,185.0F,None,6X62JY3L1BN00JWUH,Sup-05,WO-2025155,T-102,probe,S2,3.2,49.5 psi,Y,115
EVT-00510,GA-1,  STN-02,2025-04-03 19:34:44,303 PQR,45.7,199.6F,None,TB6YN KD7YS49W8JNT,sup-01,WO-2025244,T-102,operator,S2,2.69 kWh,52.1 PSI,no,118
EVT-00511,GA-2,STN-02,2025-01-08 15:04:32,789-GHI,51.4 Nm,92.1 C,None,JTNZM42TK1641TEJP,Sup-05,WO-2025131,T-102,probe,S2,2.26 kWh,38.3 PSI,No,114
EVT-00512,GA-1  ,  STN-05,2025-07-19 14:20,101-JKL,39.5,93.8 C,None,XW6FLWZXARKE5AJS2,SUP-05,WO-2025079,T-105,Manual,S3,5.73 kWh,49.0,No,118
EVT-00513,GA-2,STN-03,18-05-2025 12:85:41,202-mno,63.3,95.4C,None,U20NH2MKTLP87VSGD,Sup-01,WO-2025220,T-103,sensor,S1,4.46,33.7,No,105
EVT-00514,GA-2  ,  STN-07,2025-06-03 16:26,101 JKL,41.0,101.4 C,None,A 7 RGZyV66XKZZK9Wj,Sup-05,WO-2025223,T-107,sensor,,2.43,53.7,No,108
EVT-00515,GA-3,STN-03,11/09/2025 15:53:21,456-DEF,45.4,196.3F,None,000Y6B2KLWHN4P0PD,SUP-09,WO-2025126,T-103,operator,S3,2.99 kWh,33.1 PSI,No,115
EVT-00516, GA-2 ,  STN-05,2025/09/05 18:16:34,789 GHI,41.8,215.1F,Repair,8 L5KBUT6GTC3GLD3U,SUP-05,WO-2025279,T-105, vision ,,5.22,46.3 PSI,No,106
EVT-00517,GA-1  , STN-01 ,2025-12-20 17:00:18,789-GHI,20.8,179.1F,None,G0X3GXVF RF427UT26,SUP-05,WO-2025248,T-101,Manual,S2,3.2 kWh,22.2,No,118
EVT-00518,GA-2,STN-01,2025-05-24 10:99,303PQR,53.1,85.0C,None,9lXEYV fmtJBx 9ZWMY,SUP-01,WO-2025299,T101,Camera,S1,2.67 kWh,46.6 PSI,No,109
EVT-00519,GA-2  ,STN-03,08/01/2025 15:07:42,789-GHI,49.0,186.6F,OK,JTNZM4 2TK1641TEJP,Sup-05,WO-2025131,T-103,operator,,3.02,53.7 PSI,No,112
EVT-00520,  GA-2,STN-05,2025-05-24 11:70,303-pqr,50.5,80.0 C,None,9LXEYVF MTJBX9ZWMY,SUP-01,WO-2025299,T-105,probe,S4,5.15,38.5 psi,No,105
EVT-00521,GA-2  ,  STN-03,13/07/2025 05:34:53,101-jkl,61.2,207.5F,OK,RP lNDA0 C1B4mTKZX k,sup-09,WO-2025016,T-103,camera,,4.17,40.1 psi,No,113
EVT-00522, GA-2 ,STN-03  ,01/11/2025 10:20:56,101-jkl,47.1,177.8F,OK,6HB3TUW4CH FU M5 74H,SUP-09,WO-2025242,T-103,sensor,S3,3.08,40.2 psi,No,109
EVT-00523,  GA-3,STN-07  ,05-18-2025 18:00:38,202-mno,56.0,96.2C,None,67PNMMMF229AZKR3J,Sup-05,WO-2025253,T-107, vision ,S1,2.58 kWh,37.8,No,119
EVT-00524,GA-3,STN-03,2025-06-10 10:56,789-GHI,48.8,130.8F,None,BY0GK7U5BFYPFX8YE,Sup-02,WO-2025120,T-103,camera,S3,3.85 kWh,37.5,YES,114
EVT-00525, GA-2 , STN-03 ,14-06-2025 14:35:45,789 GHI,53.4,87.6C,OK,FTJ NRNZN5SDCH KXLN,sup-05,WO-2025270,T-103,probe,,2.9,53.8 psi,No,107
EVT-00526,GA-2,STN-09  ,2025-10-01 19:06:03,789-GHI,87.0 Nm,80.6 C,None,CL7XYD6KKSKAB1Z2M,SUP-09,WO-2025261,t-109,probe,S4,2.87 kWh,21.1 psi,No,114
EVT-00527,GA-1  ,  STN-03,14/02/2025 16:11:44,123-ABC,21.7,183.2F,na,VDUMJ53UHTM96 FF31,SUP-09,WO-2025170,T-103,probe,,3.94,32.1,No,117
EVT-00528,GA-1  , STN-05 ,2025-07-03 15:32,456DEF,46.0,199.0F,na,VLP2241AFV3C40X A M,SUP-09,WO-2025272,T-105, SENSOR ,S2,4.96,32.4 psi,No,121
EVT-00529,GA-3  , STN-01 ,2025-05-16 11:57:51,789-ghi,43.9,189.9F,OK,83CZ7P MK9H8DE71R3,Sup-09,WO-2025289,T-101, vision ,S4,2.01,47.4 PSI,No,116
EVT-00530,GA-3,STN-01,2025-07-11 05:44:15,202-MNO,52.7,198.5F,None,AE9CVW2FHCV5MP7GD,sup-02,WO-2025240,T-101,Manual,,2.88 kWh,50.9 psi,No,116
EVT-00531,GA-1,STN-05,17/06/2025 14:13:44,101-JKL,62.7,181.6F,None,SD4T0TK49JVN7T65K,SUP-01,WO-2025003,T-105, MANUAL ,,5.78,48.8 psi,No,118
EVT-00532,GA-3,STN-02,16-03-2025 10:13:23,456-DEF,74.5,94.4 C,None,8374WBEHDNP9GZTK0,sup-09,WO-2025259,T-102,camera,S3,3.02,44.2,No,119
EVT-00533,  GA-1,  STN-05,01-14-2025 17:44:00,202-mno,45.0,96.2C,None,6FtL 5XNA34TV BGWNK,SUP-05,WO-2025267,T-105,sensor,,4.36,35.4,No,117
EVT-00534,GA-2,  STN-07,10-24-2025 16:99:12,123 ABC,59.8,203.2F,None,LVSAAJ84SY6P T Z JDK,Sup-11,WO-2025025,T-107,operator,,2.6 kWh,45.8 psi,Y,105
EVT-00535, GA-1 ,  STN-07,2025-05-08 10:52:27,789-ghi,57.7,191.1F, None,YN9VYEJNJD5ULPC8 D,sup-02,wo-2025061,T-107,camera,,3.62,41.1 PSI,No,117
EVT-00536,GA-3, STN-02 ,10-12-2025 07:23:24,456-def,52.5,88.6C,OK,T2V S0F B8 Y7JMTE3V7,SUP-05,WO-2025108,t-102,sensor,,3.79,32.2 PSI,No,119
EVT-00537, GA-2 ,STN-07,12-11-2025 07:05:38,123-ABC,28.7,89.6 C,OK,0 6EW5K0 3NX YSPG983,SUP-09,WO-2025034,T-107,operator,S1,3.49,34.1 PSI,No,105
EVT-00538,GA-1  ,STN-05,10-09-2025 18:49:33,789-GHI,42.9,89.1 C,None,UF1RU6VTPVXEHAJH J,SUP-05,WO-2025123,T-105,sensor,,5.38 kWh,45.5 PSI,No,120
EVT-00539, GA-2 ,STN-01,2025/10/04 18:08:15,202 MNO,60.8,232.5F,None,4Z8M7YXZ0S4CV37TC,SUP-01, WO-2025260 ,T-101, SENSOR ,S4,2.89,41.8 psi,No,111
EVT-00540,GA-1  ,STN-01,2025/09/10 18:26:57,789-GHI,48.4 Nm,210.9F,None,Uf 1 RU6vTpVxEHaJhj,Sup-05,wo-2025123,T-101,sensor,S4,2.5 kWh,37.9 PSI,No,117
EVT-00541,  GA-3,  STN-07,2025-06-14 16:54:19,789-ghi,56.5,199.0F,None,3K9JB79ZK65XRPLRF,Sup-05,WO-2025070,T-107,operator,S1,3.84 kWh,37.3 PSI,No,120
EVT-00542,GA-3  ,STN-01  ,12-11-2025 15:04:46,456-DEF,41.7,91.7C,None,6XM2YTR5 jDXA787vA,SUP-09, WO-2025095 ,T101,CAMERA,S1,2.14,21.2 psi,No,118
EVT-00543,GA-1, STN-02 ,06-04-2025 08:27:00,789-GHI,55.1,212.2F,Repair,BAML519CX KYCMN NW V,SUP-11,WO-2025081,T-102,Sensor,S4,2.73 kWh,42.8 PSI,No,125
EVT-00544,  GA-2, STN-01 ,2025-02-10 12:81,303-pqr,82.3,173.7F,OK,1VK BG  4FK229FRJ0H9,sup-01,WO-2025184,T-101,CAMERA,,2.66 kWh,41.6,No,109
EVT-00545,GA-3  ,  STN-02,02-12-2025 12:40:51,123-ABC,56.0,191.7F,None,BWKL08 4FDSPZF2JYJ,SUP-11, WO-2025277 ,T-102, vision ,,3.7,37.5 PSI,No,114
EVT-00546, GA-2 ,STN-03  ,2025/04/08 12:25:07,101-JKL,45.4,80.7C,OK,RYL6SRHY3TBSB3UG1,sup-11, WO-2025216 ,T-103,Camera,,3.16 kWh,53.4 psi,No,109
EVT-00547,  GA-3, STN-02 ,2025-04-03 16:17,456-def,51.7,82.0C,None,DHXYCX6ZSA75DC1UY,Sup-01,WO-2025200,T-102,manual,,2.59,37.0,No,117
EVT-00548,  GA-1,STN-01,2025-01-14 17:28,202-mno,40.2,98.8C,None,6FTL5XNA34TVBGWNK,Sup-05,wo-2025267,T-101, MANUAL ,,2.54,41.6,No,115
EVT-00549,GA-1,STN-07,2025-02-10 13:56,789-GHI,63.8,180.3F, None,4SFVS98 4JAVKE2324,SUP-11,WO-2025210,T-107,probe,S1,3.24,39.9 psi,No,124
EVT-00550,GA-2, STN-07 ,01-10-2025 19:04:38,789-GHI,55.1,81.4 C,None,CL7XYD6 KKSK AB 1Z2M,SUP-09,WO-2025261,T-107, SENSOR ,,2.69,47.5 psi,No,114
EVT-00551,GA-2  , STN-01 ,2025-03-13 05:55,123-abc,48.2,90.3 C, None,ED 00MuG2B4JT v4WzL,Sup-05,WO-2025154,T-101,camera,,3.0 kWh,52.5 PSI,No,110
EVT-00552,  GA-3,  STN-09,2025-04-11 11:13,789-GHI,40.4,188.6F,None,UM6Y4k4pxA4S 0Mx dD,Sup-01,WO 2025133, T-109 , SENSOR ,,2.34 kWh,51.1 psi,No,115
EVT-00553,GA-3  , STN-01 ,06-06-2025 13:45:44,456DEF,59.0 Nm,59.9C,None,5FUM7 TBTYCZ643 M34,SUP-05,WO-2025138,T-101,Sensor,S4,3.33 kWh,51.0,No,110
EVT-00554,  GA-1, STN-05 ,11/05/2025 13:05:20,202-MNO,59.5 Nm,185.7F,None,YAPTRM6SFFUYX72S4,SUP-11,WO-2025002,T-105,CAMERA,,4.7 kWh,45.2 PSI,No,124
EVT-00555, GA-2 ,STN-03,14-08-2025 17:21:35,101-JKL,62.8,215.4F,None,TB7Y6U XU89CUGK8RD,sup-02,wo-2025132,T103,Manual,,3.21,47.6 PSI,no,115
EVT-00556,GA-2,STN-05  ,02-02-2025 16:50:12,101-JKL,48.7,82.2 C,OK,VRWk 8T6DDkDEnU3D T,Sup-02,WO 2025262,T-105,manual,,4.13 kWh,33.5,No,114
EVT-00557, GA-1 ,  STN-09,03-07-2025 15:37:16,456-def,54.4 Nm,82.9C,None,VLP2241AFV3C40XAM,SUP-09,WO-2025272,T-109,sensor,,2.13 kWh,53.2 psi,No,123
EVT-00558,GA-3, STN-07 ,2025-03-16 06:02,123ABC,47.7,48.4C,None,NFRPHP ABDD5 TB8MGB,SUP-11,WO-2025190,T-107, SENSOR ,S1,3.12,40.1 PSI,No,120
EVT-00559,  GA-1,  STN-02,03-05-2025 16:29:51,202-mno,62.9,99.6C,None,P9RJR1YTM9GM52SD5,Sup-11, WO-2025050 , T-102 , SENSOR ,,3.68,20.5 psi,No,117
EVT-00560, GA-1 ,STN-05  ,08/11/2025 07:99:17,101-JKL,46.7 Nm,88.9 C,None,F07ZGVD6PP7 F6B1L 8,SUP-09,WO-2025153,T-105,Sensor,,4.03 kWh,34.0 PSI,No,116
EVT-00561, GA-2 ,STN-02,2025-02-10 12:23:04,303-PQR,57.1 Nm,98.1C,Repair,1VKBG4FK229F RJ0H9,SUP-01,WO-2025184,T102,camera,S3,3.13,49.1 psi,No,106
EVT-00562,  GA-1,STN-05,2025-11-17 07:52,303-PQR,53.8,78.0 C,None,pUvY 6j2ZF TlS zP891,SUP-01,WO-2025193, T-105 ,probe,,4.96,54.0 PSI,No,122
EVT-00563,  GA-2,STN-05  ,05/11/2025 12:20:51,789-GHI,63.0 Nm,88.6C, None,D8 B2 AM1HGC0TNPL8X,Sup-02,WO 2025127,t-105,operator,,4.06,40.6 PSI,No,106
EVT-00564,GA-3,STN-03  ,15/02/2025 20:20:55,456-def,56.6,188.8F, None,5 PGJM11HALT1JAW9N,SUP-05,WO 2025285,t-103,manual,S1,3.71 kWh,41.8 PSI,No,111
EVT-00565, GA-3 ,STN-07,12-22-2025 12:57:25,202-mno,44.7 Nm,82.3 C,Repair,AAT5099JTEH4XBZGH7X,SUP-02, WO-ERR-0026 ,T-107,Camera,,2.67,39.0 psi,No,115
EVT-00566,GA-2,STN-01,02-02-2025 20:19:39,202-MNO,42.4,84.8 C,OK,D4SXL67C7HR5NN5GC,SUP-01,WO-2025097,T-101,Sensor,,3.38,41.0,No,115
EVT-00567, GA-1 , STN-02 ,2025-08-17 19:57:55,123ABC,53.2,215.1F,None,5BLx 4n9hAY GE7 3BZn,Sup-11,WO-2025156,T-102,sensor,S2,2.63 kWh,45.0 PSI,No,122
EVT-00568,GA-1  ,  STN-09,04/08/2025 18:05:19,456-def,43.5 Nm,87.2 C, na,Z KBB6ZE VYCYNACA2K,SUP-09,WO-2025101,T-109,probe,,2.16 kWh,42.3,No,115
EVT-00569, GA-2 ,STN-01  ,2025/06/11 20:58:30,456-DEF,80.4,119.0 C,OK,BM3HYZJCKV2DLPV84,SUP-09,WO-2025021,T101,Sensor,S2,2.91,51.0 PSI,No,110
EVT-00570,GA-3, STN-07 ,02/10/2025 15:32:32,123-abc,54.9,78.3 C,Reject,AYNM1  ALSEDU2WSVV2,SUP-05,WO-2025060,T107, vision ,S4,3.46,39.8,No,117
EVT-00571, GA-3 ,  STN-05,2025-09-08 11:16,456-DEF,43.7 Nm,91.1 C,None,AMH35SMJV20E51L  62,SUP-01,WO-2025111,T-105,operator,,4.43 kWh,36.0,No,117
EVT-00572, GA-3 ,  STN-02,2025-10-05 20:57,456-DEF,55.5,81.7 C,None,WSCgH8A7B2 BB72 PDB,SUP-09, WO-2025114 ,T-102,CAMERA,S2,3.02 kWh,33.5,No,117
EVT-00573,  GA-2,STN-02  ,01-08-2025 19:27:27,789-GHI,41.5,96.0C,Repair,5RDTYDPVACWXLTGZ8,SUP-01,WO-2025015,T-102,Sensor,S3,3.3,46.3 psi,No,110
EVT-00574,  GA-3,  STN-05,2025-03-22 17:27:41,789GHI,58.9,177.3F, None,WHN848AW3G  61993A9,SUP-09,WO 2025085,T-105, SENSOR ,S3,5.32,37.4 psi,No,113
EVT-00575,GA-3,STN-03,2025/03/20 20:04:28,789-ghi,25.6 Nm,192.0F,OK,W2XBA3FHRU4KMJ1LK,sup-02,WO-2025265,T-103,operator,S2,3.51 kWh,32.0 PSI,N,116
EVT-00576,GA-3,STN-07,2025/06/17 15:27:01,303 PQR,42.5,93.4C,None,G6JEALRE7Z0SNP7J6,Sup-05,WO-2025280, T-107 , SENSOR ,S2,3.93 kWh,43.2 PSI,N,111
EVT-00577,  GA-3, STN-03 ,2025-01-17 08:39:05,789-GHI,51.0,210.2F,None,J NML4XG S98CGDS9SD,SUP-02,WO-2025286,T-103, MANUAL ,S4,3.67,39.3,N,113
EVT-00578, GA-3 ,STN-03  ,20/03/2025 17:37:14,101JKL,63.0,96.5C,None,tVsd86dWdW Zm U GTHV,Sup-01,WO-2025207,T-103, MANUAL ,,4.39,32.9 psi,No,120
EVT-00579,  GA-3,  STN-09,10-14-2025 10:99:21,101JKL,56.2,61.7 C,OK,F4F86C2F T 5ZE45V D3,SUP-02, WO-2025151 ,T-109,probe,S4,2.81 kWh,38.0 PSI,No,120
EVT-00580,GA-2  ,STN-03,2025-05-19 19:21:54,123-abc,43.2,86.9C, OK,N 74RF4JP3 YM4 3P8JP,SUP-02,WO-2025092,T-103, SENSOR ,S2,4.2 kWh,46.9 psi,No,114
EVT-00581,GA-3, STN-03 ,12-09-2025 09:35:41,303-pqr,41.4,86.6C, None,9KC7EV3D69S53B G1 4,SUP-02,WO 2025246,T-103,probe,,4.18 kWh,35.0 PSI,No,111
EVT-00582,GA-2  ,STN-07  ,2025-12-17 07:45,202-MNO,81.2,100.0C,None,jTaWRy1Y1CcDE d7U0,sup-02,WO 2025283,T107,sensor,S1,3.97 kWh,36.9,No,110
EVT-00583,GA-3  , STN-09 ,06-10-2025 11:08:33,789-ghi,60.2,81.3 C,None,BY0GK7U5BFYPFX8YE,Sup-02,WO-2025120, T-109 , SENSOR ,S1,2.63 kWh,43.0 psi,No,118
EVT-00584,  GA-2,STN-03  ,07-24-2025 10:10:33,303-pqr,44.8,96.0C,OK,dRwJUvX9pGvVFVS9 W,Sup-05,WO-2025017,T-103,sensor,S4,3.67 kWh,53.7,No,112
EVT-00585,GA-3, STN-05 ,17/12/2025 05:11:08,202-mno,60.0,211.5F,None,TE Y9BpBCC  12T89D85,SUP-02,WO-2025063,T-105,sensor,S4,4.24,47.7 PSI,No,119
EVT-00586, GA-3 ,STN-05  ,2025-04-11 11:05:40,789-GHI,41.8 Nm,190.2F, None,UM6Y4K4PXA4S0MXDD,SUP-01,WO-2025133,T-105,manual,,3.75,38.7,No,111
EVT-00587,GA-1,STN-03,09/08/2025 11:48:07,789-GHI,48.4 Nm,180.1F,None,0N0S8GBJXAWLFDJZV,Sup-01,WO-2025182,T-103,Manual,,3.07 kWh,51.3 PSI,No,118
EVT-00588,GA-3,STN-05,2025/10/04 16:55:16,123-ABC,44.3 Nm,200.1F,None,RSB5SBWNRZ2AJKPRK,sup-09,WO-2025047,T-105,probe,S4,4.74 kWh,33.5 PSI,No,118
EVT-00589,  GA-3,  STN-09,25-02-2025 14:27:53,101-jkl,43.9,193.6F,None,PKFYMYJRDVVJ111LH,SUP-05,WO-2025123,T109,camera,,2.22 kWh,21.0 PSI,No,115
EVT-00590, GA-3 ,STN-05,01-11-2025 15:52:22,101JKL,50.5,86.0C,None,F6C8NNLKNXV9ZYZ12,sup-05,WO-2025176,T-105, vision ,,5.52,52.5 PSI,No,113
EVT-00591,GA-1  ,STN-01,08-20-2025 16:98:14,202-mno,63.2,95.9 C,Repair,ll0 CCYXh3V GBn3Y33,sup-02,WO-2025252,T-101, MANUAL ,S2,3.16,48.2,No,116
EVT-00592,GA-1,STN-09,19/11/2025 06:56:51,101-JKL,52.6 Nm,193.3F,None,RNGX23YREJP3L26ZB,SUP-11,WO-2025258,T-109,camera,S2,2.75,41.0 psi,No,122
EVT-00593,  GA-2, STN-09 ,06-04-2025 12:05:15,456-DEF,38.1 Nm,95.6 C,None,PJ93TH630 WBB EUH 28,sup-09,WO-2025110,T-109,Manual,S4,3.19,50.2 psi,No,114
EVT-00594,  GA-2,STN-07,2025/06/23 07:19:36,456 DEF,21.2,84.1 C,None,9MM211LDA81ZR6E9K,SUP-05, WO-2025158 ,T-107,Camera,S1,2.82 kWh,43.0,No,111
EVT-00595,GA-3  ,  STN-05,2025/04/21 20:21:51,456 DEF,63.6,93.5 C,None,91994W5 ReNgTxCE5a,SUP-11,WO-2025282,T105,CAMERA,,5.54,46.3 psi,No,116
EVT-00596, GA-1 ,STN-05  ,2025-06-06 14:48,456-DEF,49.0 Nm,202.1F,None,AGN3BHBLEDJF19ND3,SUP-01,WO-2025203,T-105,probe,S3,5.02 kWh,40.7 psi,No,119
EVT-00597,  GA-2,STN-01  ,2025/11/25 20:34:33,202 MNO,57.3,82.2C,None,XZDVKRVXZVJPCEW7H,sup-09,WO-2025171,T-101,probe,,3.35 kWh,39.3 PSI,YES,108
EVT-00598,GA-2, STN-05 ,16/01/2025 18:56:38,456-def,57.0,85.9C,na,L16A jT6EU4cB03Dle,Sup-01, WO-2025263 ,T-105,CAMERA,,4.8,39.4 psi,No,106
EVT-00599,GA-2,STN-09,2025/08/19 10:27:03,789 GHI,49.5,203.4F,None,U  Yst AazE8t3XCZ6G2,Sup-11,WO-2025185,T-109,CAMERA,S2,2.75 kWh,40.1 PSI,No,107
EVT-00600,GA-2  ,STN-09,2025-03-13 06:16:16,123-ABC,60.8 Nm,212.4F,None,ED00MUG2 B4JTV4WZL,sup-05,WO-2025154,T-109,CAMERA,S2,2.97 kWh,49.2,No,109
EVT-00601,GA-3,STN-07  ,07-07-2025 07:33:55,456 DEF,61.1,92.6C,na,6TX 1ZK83GUFCGZB7 U,sup-05,WO-2025175,t-107,operator,,2.85 kWh,32.1 PSI,No,116
EVT-00602,GA-2,STN-02,2025-09-10 13:28:08,101-JKL,59.6,94.9C,OK,L142W1WR5XU5EYK2J,sup-01,WO-2025094,T-102,Manual,,2.68 kWh,48.2 psi,No,115
EVT-00603,GA-1,STN-02  ,02-07-2025 20:37:14,101-jkl,50.2,93.5 C,None,9wHP4 DF4KY1g9DsaZ,Sup-02,wo-2025298,T-102, MANUAL ,S3,3.41 kWh,52.7 psi,No,116
EVT-00604,GA-1, STN-05 ,2025-06-17 11:59,202-MNO,50.4,80.8 C,None,ARGh43P 4G 1HDDPB b5,SUP-05,WO-2025234,T-105,operator,S2,5.78 kWh,49.7 PSI,No,122
EVT-00605,GA-3,  STN-07,2025/02/01 09:54:59,123ABC,44.4,95.9 C,None,XP8WN67KR54TWGS 0X,sup-05,WO-2025141,T-107, MANUAL ,S4,3.77,41.6 PSI,No,118
EVT-00606, GA-3 ,STN-01,2025-04-21 20:03,456DEF,25.7,92.1 C,na,91994W5RE  N GTXCE5A,Sup-11,WO-2025282,T-101, SENSOR ,,2.36 kWh,41.7 PSI,no,117
EVT-00607,GA-1,STN-05,09/02/2025 11:06:42,303-PQR,40.1,79.7C,OK,B6X0LPPGWWE3V2F6T,Sup-09,WO-2025112,T-105,probe,,5.27 kWh,42.1 psi,No,119
EVT-00608,GA-1,STN-07,2025/06/19 09:10:56,303-PQR,45.6,91.8 C,None,8SJ0K4C9YBPNSY0C4,SUP-05,WO-2025009,T-107, vision ,S4,3.66 kWh,44.4,No,117
EVT-00609,GA-2, STN-09 ,2025-08-13 17:18,101-jkl,77.0,138.6F, OK,31WBMC97C7BP229YP,SUP-05,WO 2025008,T-109,manual,,2.53,43.6 PSI,No,111
EVT-00610,GA-2  ,STN-05,2025-03-13 06:10,123-abc,38.8,95.7 C,OK,ED00MUG2B4JTV4WZL,Sup-05,WO-2025154,T-105,camera,S1,4.53 kWh,37.7 PSI,No,107
EVT-00611,  GA-1,STN-09,02-02-2025 15:10:55,789GHI,24.4,214.7F,None,XKB08A1 6Z6MHGA80 P,Sup-01,WO-2025173,T109,Sensor,S2,2.16 kWh,32.8,N,117
EVT-00612,GA-3,STN-03,2025/09/08 11:12:54,456-DEF,48.2,94.2C,None,AMH35 SMJV20E51L6 2,Sup-01,WO 2025111,T-103, MANUAL ,S2,3.41,44.8,No,120
EVT-00613,GA-3,STN-01,19-08-2025 10:58:43,789-GHI,46.4 Nm,95.4 C,None,LYXUT2VDHAS3J9Y3H,sup-02,WO-2025145,T-101,CAMERA,,3.36,43.8,No,116
EVT-00614, GA-3 ,STN-03,2025-10-14 10:28:38,101-JKL,41.3,176.9F,None,F4F86C2FT 5 ZE45VD3,sup-02,WO-2025151,T-103,camera,S1,4.49,64.9,No,120
EVT-00615, GA-3 , STN-01 ,2025-10-23 19:03:04,123 ABC,51.7,88.9 C,None,s9Dp VEMfl7cApXYrK,sup-02,WO-2025199,T-101,manual,S4,2.57 kWh,43.4 PSI,No,110
EVT-00616,  GA-3,  STN-09,05-10-2025 21:17:13,456DEF,54.0,82.6 C,na,WSCGH8A7B2B B7 2PDB,SUP-09,wo-2025114,t-109,Camera,,2.55 kWh,33.6 PSI,No,111
EVT-00617,GA-2,STN-05,10-08-2025 09:16:26,202MNO,50.0,85.8 C,OK,JU5YJPLZK4XX8PTV7,Sup-02,WO-2025251,T-105,Camera,S1,5.53 kWh,40.6 psi,No,108
EVT-00618,GA-1,  STN-07,10-12-2025 12:24:47,202MNO,55.6,90.0C,na,Y 9 X2SYUS97KYH6SYC,sup-09,WO-2025136,T-107,operator,S3,3.28 kWh,45.9 psi,No,119
EVT-00619,GA-3  ,STN-05  ,20-06-2025 21:02:43,123-abc,44.3,101.1C,Repair,DS5YZF C4KL8C FN1V6,SUP-09,WO-2025013,T-105,camera,,5.48,46.2,No,118
EVT-00620,GA-1  ,STN-05,2025-11-10 21:00:47,202-mno,63.3,101.9 C,None,H SU67F2GErz8LB KZZ,sup-01,WO-2025160,T105,sensor,S1,5.39,53.4 PSI,No,116
EVT-00621,GA-3,STN-01,2025-08-07 12:06,101-JKL,59.9,87.7C,None,EU1UA0YWMPF0BLJ3N,SUP-02,WO-2025180,T-101,camera,S2,2.66 kWh,53.7 PSI,No,112
EVT-00622,GA-1,STN-03,2025-03-13 11:40:34,789-GHI,54.3,99.1C,None,9E0KLLHSP7ZZ1K06Y,sup-01,WO-2025059,T-103,Camera,S1,3.28,46.7,No,119
EVT-00623,GA-3,STN-02,12-06-2025 16:42:53,303-PQR,52.3 Nm,98.8 C,None,4XBWDDU8NCHD8MEYY,Sup-02,WO-2025149,T-102,probe,,2.75 kWh,42.0 psi,No,120
EVT-00624,GA-1  ,STN-09,2025/05/03 16:49:04,202-MNO,60.1,86.3 C, None,P9RJR1YTM9G M52SD5,SUP-11,WO-2025050, T-109 ,probe,S4,2.29,50.8 PSI,No,123
EVT-00625,GA-3  ,STN-05  ,2025-12-09 09:40:54,303PQR,57.0,79.8C,None,9KC7EV3D69 S53BG14,SUP-02,WO-2025246,T-105,camera,S4,4.11 kWh,50.1,No,119
EVT-00626,GA-3,STN-01,21-03-2025 12:46:19,101-JKL,44.9,83.7 C,OK,718VLZDTT6B18WZDX,SUP-02,WO-2025074,T-101,Camera,,3.0 kWh,36.9 PSI,No,110
EVT-00627,GA-3  , STN-07 ,04-09-2025 12:59:26,123-abc,46.7,95.2C,None,PYLMZSU8 C G90MY7AB,sup-11,WO 2025189, T-107 , MANUAL ,S4,3.24,33.3 psi,YES,119
EVT-00628,  GA-2,  STN-05,2025-06-12 15:35,456-def,40.7,78.3 C,None,1L F SP0 TYDR46AFZGG,SUP-05,WO-2025159, T-105 ,Camera,S2,4.66,37.4 psi,No,114
EVT-00629, GA-2 ,STN-02  ,2025/12/22 17:10:47,303-pqr,59.0,188.2F,None,PMW3YCDZK0Y65MWEM,Sup-09,WO-2025005,T-102,probe,,3.51,33.1 PSI,No,113
EVT-00630,GA-2,STN-02,19-02-2025 12:39:29,456-DEF,52.7,100.1C,None,WGNX7N5ZCHZWPSCTX,sup-01,WO-2025268,T-102,manual,S1,2.67,53.8 PSI,No,109
EVT-00631,GA-3,STN-07  ,2025-03-22 17:31,789-ghi,59.6,176.4F,None,WHN848AW3G6 19 93A9,sup-09,WO-2025085,t-107,CAMERA,,2.52 kWh,40.2 psi,Yes,116
EVT-00632,GA-3  , STN-02 ,06-24-2025 07:99:42,202-MNO,44.7 Nm,83.0 C,None,EZP4GZB2GVW J3ZAX H,SUP-05,WO-2025290,T-102,Camera,S2,3.55 kWh,46.1 PSI,No,115
EVT-00633,GA-1,STN-01  ,2025-02-04 01:35:34,999-ZZZ,46.9 Nm,188.4F,Reject,4M405A0KM 663NPW 3S,SUP-09, WO-ERR-0008 ,t-101, MANUAL ,s2,3.4 kWh,46.2,No,120
EVT-00634,GA-2  , STN-01 ,05-25-2025 10:19:42,456-DEF,41.8,81.0 C,Repair,BVY 57 7KEPB6R4EKE5,Sup-01,WO-2025161,T-101, MANUAL ,S3,2.92,47.2 PSI,no,109
EVT-00635,GA-3,STN-05,2025-03-16 10:23:00,456-DEF,53.6,91.7 C,Repair,8374WBEHDNP9GZTK0,sup-09,WO-2025259,T-105, MANUAL ,S3,4.11,34.8 PSI,No,116
EVT-00636,GA-2,STN-01  ,2025/10/21 09:59:45,202-mno,40.6,92.8C,Repair,8EEFDZ51WCAJG101D,SUP-01,WO-2025255, T-101 ,Manual,,2.49 kWh,38.5,No,115
EVT-00637,GA-2,STN-03  ,2025-12-08 07:24,123 ABC,60.5,78.7C,None,K8 RRER707D 6tCEKZ8,SUP-02,WO-2025044,T103, MANUAL ,,4.18,43.4 PSI,No,107
