Supplier_Code,Supplier_Name,Country,Part_No,Part_Description,VIN,Work_Order,Warranty_Claim,Defect,Scrap_Reason
SUP-02,Precision Motion Works,Germany,123-ABC,Front Axle Assembly,5PPYA8SNMBB3SNXZY,WO-2025192,No,Reject,Torque Failure
SUP-01,Atlas Fasteners,India,789-GHI,Steering Rack,3F08C3870E1A79NMZ,WO-2025150,No,None,
SUP-01,Atlas Fasteners,India,789-GHI,Steering Rack,UM6Y4K4PXA4S0MXDD,WO-2025133,No,None,
SUP-09,Nova Sensor Systems,South Korea,101-JKL,Battery Cooling Harness,F5EBC94D6NKAT1H21,WO-2025058,No,Reject,Assembly Error
SUP-05,Prime Casting Solutions,Japan,101-JKL,Battery Cooling Harness,J7CZTBW6SBJB2N0NY,WO-2025135,No,Repair,
SUP-02,Precision Motion Works,Germany,789-GHI,Steering Rack,TE0TDZYZVS5TNT9XM,WO-2025026,No,Repair,Sensor Fault
SUP-09,Nova Sensor Systems,South Korea,303-PQR,Door Lock Module,B6X0LPPGWWE3V2F6T,WO-2025112,No,None,Sensor Fault
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,YRKXRG5K3Z77079WX,WO-2025022,No,None,Material Defect
SUP-02,Precision Motion Works,Germany,101-JKL,Battery Cooling Harness,B6VAXZ0X7X34446PP,WO-2025212,No,None,
SUP-05,Prime Casting Solutions,Japan,202-MNO,Brake Cylinder,ARGH43P4G1HDDPBB5,WO-2025234,No,Repair,Torque Failure
SUP-01,Atlas Fasteners,India,303-PQR,Door Lock Module,LR1BM85R4EBS3WZAS,WO-2025072,No,Reject,Sensor Fault
SUP-11,Vector Drive Components,USA,303-PQR,Door Lock Module,YYC9XJFNTFDUN93FU,WO-2025238,No,None,Material Defect
SUP-02,Precision Motion Works,Germany,456-DEF,Rear Suspension Module,GPR1E62N3RR2XM3J1,WO-2025077,No,None,Assembly Error
SUP-05,Prime Casting Solutions,Japan,789-GHI,Steering Rack,J54ZYH0KJEX6PT7YN,WO-2025068,No,None,Assembly Error
SUP-09,Nova Sensor Systems,South Korea,101-JKL,Battery Cooling Harness,F5EBC94D6NKAT1H21,WO-2025058,No,None,
SUP-05,Prime Casting Solutions,Japan,123-ABC,Front Axle Assembly,CXDW97088CBDPKECS,WO-2025084,No,None,Material Defect
SUP-01,Atlas Fasteners,India,789-GHI,Steering Rack,9E0KLLHSP7ZZ1K06Y,WO-2025059,Yes,None,Torque Failure
SUP-11,Vector Drive Components,USA,456-DEF,Rear Suspension Module,JCEJMN9LPJSXHTS34,WO-2025276,No,None,Torque Failure
SUP-05,Prime Casting Solutions,Japan,456-DEF,Rear Suspension Module,9MM211LDA81ZR6E9K,WO-2025158,Yes,None,
SUP-01,Atlas Fasteners,India,202-MNO,Brake Cylinder,YC8U28U1TAYU8KG44,WO-2025030,No,None,Torque Failure
SUP-01,Atlas Fasteners,India,202-MNO,Brake Cylinder,TXGP6XRFK6YX5DMM9,WO-2025039,No,None,Torque Failure
SUP-11,Vector Drive Components,USA,B0GUS-01,,GN8T3RYB5SC819NJP,WO-ERR-0003,No,None,
SUP-09,Nova Sensor Systems,South Korea,456-DEF,Rear Suspension Module,5NHU7AVHFJC4Y5ZG5,WO-2025087,No,None,Material Defect
SUP-09,Nova Sensor Systems,South Korea,123-ABC,Front Axle Assembly,7DHMFPLNSC3YNCHKW,WO-2025033,Yes,None,Material Defect
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,YRKXRG5K3Z77079WX,WO-2025022,No,None,
SUP-05,Prime Casting Solutions,Japan,202-MNO,Brake Cylinder,2NEYFHMZCN5N2URDJ,WO-2025065,No,None,Assembly Error
SUP-02,Precision Motion Works,Germany,789-GHI,Steering Rack,LYXUT2VDHAS3J9Y3H,WO-2025145,No,None,Material Defect
SUP-02,Precision Motion Works,Germany,303-PQR,Door Lock Module,9N8479S2233D92CPP,WO-2025177,No,None,Material Defect
SUP-02,Precision Motion Works,Germany,123-ABC,Front Axle Assembly,M2THBCC2ZG1PCNS9A,WO-2025287,No,None,Assembly Error
SUP-02,Precision Motion Works,Germany,456-DEF,Rear Suspension Module,LL7CPXY1G5TMRMFFA,WO-2025051,No,None,Sensor Fault
SUP-02,Precision Motion Works,Germany,456-DEF,Rear Suspension Module,FA3C7C8AYHPU5KXWT,WO-2025264,No,None,
SUP-02,Precision Motion Works,Germany,789-GHI,Steering Rack,3CRZU9F2PL5X0D4NK,WO-2025122,No,None,
SUP-01,Atlas Fasteners,India,789-GHI,Steering Rack,UM6Y4K4PXA4S0MXDD,WO-2025133,No,None,Assembly Error
SUP-02,Precision Motion Works,Germany,123-ABC,Front Axle Assembly,5PPYA8SNMBB3SNXZY,WO-2025192,No,None,Material Defect
SUP-05,Prime Casting Solutions,Japan,101-JKL,Battery Cooling Harness,Z0JSPVS0WHTYVJW35,WO-2025165,No,None,Torque Failure
SUP-02,Precision Motion Works,Germany,123-ABC,Front Axle Assembly,BT4E30CERPXC2SZ9M,WO-2025062,No,None,Assembly Error
SUP-09,Nova Sensor Systems,South Korea,789-GHI,Steering Rack,0UJ89WW2FFPES2SVC,WO-2025100,No,None,
SUP-09,Nova Sensor Systems,South Korea,101-JKL,Battery Cooling Harness,6LBCHZ3U5S31F17GR,WO-2025121,No,None,Assembly Error
SUP-05,Prime Casting Solutions,Japan,101-JKL,Battery Cooling Harness,P5LDX4R231Y4PBKKR,WO-2025164,No,None,Torque Failure
SUP-11,Vector Drive Components,USA,789-GHI,Steering Rack,UYSTAAZE8T3XCZ6G2,WO-2025185,No,None,Material Defect
SUP-11,Vector Drive Components,USA,303-PQR,Door Lock Module,E53K31VWDJH2PAGNP,WO-2025028,No,Reject,Material Defect
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,FBNGZ6XMCX1EG0WTC,WO-2025023,No,None,Material Defect
SUP-05,Prime Casting Solutions,Japan,303-PQR,Door Lock Module,G6JEALRE7Z0SNP7J6,WO-2025280,No,None,Sensor Fault
SUP-09,Nova Sensor Systems,South Korea,303-PQR,Door Lock Module,A1CW7MZZCJ4R1ST2L,WO-2025054,No,None,
SUP-09,Nova Sensor Systems,South Korea,101-JKL,Battery Cooling Harness,9A43Y44YVEDSJ5P0C,WO-2025088,No,None,Material Defect
SUP-05,Prime Casting Solutions,Japan,456-DEF,Rear Suspension Module,6PSNFC4Z0TPXRHFBV,WO-2025191,No,None,
SUP-11,Vector Drive Components,USA,789-GHI,Steering Rack,UYSTAAZE8T3XCZ6G2,WO-2025185,No,None,Assembly Error
SUP-09,Nova Sensor Systems,South Korea,123-ABC,Front Axle Assembly,C2ZHY79RBSUF7C3SS,WO-2025080,No,None,Torque Failure
SUP-05,Prime Casting Solutions,Japan,456-DEF,Rear Suspension Module,A1RY99DBK4ERBP127,WO-2025082,No,None,Torque Failure
SUP-01,Atlas Fasteners,India,123-ABC,Front Axle Assembly,ASZS4DE1AVBK76NUC,WO-2025281,No,None,Assembly Error
SUP-01,Atlas Fasteners,India,202-MNO,Brake Cylinder,2HP3ZTFBENM0UN6AY,WO-2025075,No,None,
SUP-02,Precision Motion Works,Germany,123-ABC,Front Axle Assembly,74PE1PV6N9BT1U5U1,WO-2025284,No,None,
SUP-05,Prime Casting Solutions,Japan,101-JKL,Battery Cooling Harness,J7CZTBW6SBJB2N0NY,WO-2025135,No,None,
SUP-11,Vector Drive Components,USA,123-ABC,Front Axle Assembly,PYLMZSU8CG90MY7AB,WO-2025189,No,None,Assembly Error
SUP-09,Nova Sensor Systems,South Korea,123-ABC,Front Axle Assembly,DS5YZFC4KL8CFN1V6,WO-2025013,No,None,Sensor Fault
SUP-02,Precision Motion Works,Germany,303-PQR,Door Lock Module,7NAT8NNWN5S6LE8GD,WO-2025134,No,None,Sensor Fault
SUP-09,Nova Sensor Systems,South Korea,123-ABC,Front Axle Assembly,6PEM9NNC8ZCH08P3L,WO-2025091,No,None,Assembly Error
SUP-01,Atlas Fasteners,India,303-PQR,Door Lock Module,TB6YNKD7YS49W8JNT,WO-2025244,No,None,
SUP-09,Nova Sensor Systems,South Korea,456-DEF,Rear Suspension Module,WSCGH8A7B2BB72PDB,WO-2025114,No,None,Sensor Fault
SUP-02,Precision Motion Works,Germany,123-ABC,Front Axle Assembly,74PE1PV6N9BT1U5U1,WO-2025284,No,None,Assembly Error
SUP-05,Prime Casting Solutions,Japan,789-GHI,Steering Rack,E6JDW0LTG5CTPAA0D,WO-2025292,No,None,Torque Failure
SUP-01,Atlas Fasteners,India,789-GHI,Steering Rack,5RDTYDPVACWXLTGZ8,WO-2025015,No,None,Sensor Fault
SUP-01,Atlas Fasteners,India,456-DEF,Rear Suspension Module,AMH35SMJV20E51L62,WO-2025111,No,None,
SUP-01,Atlas Fasteners,India,456-DEF,Rear Suspension Module,WGNX7N5ZCHZWPSCTX,WO-2025268,No,None,
SUP-09,Nova Sensor Systems,South Korea,202-MNO,Brake Cylinder,FMRM5GGBP16FGSYJP,WO-2025036,No,Repair,Torque Failure
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,FD3WEY2ETGXV283A6,WO-2025206,No,Repair,Assembly Error
SUP-05,Prime Casting Solutions,Japan,101-JKL,Battery Cooling Harness,VG8BB4DXVPCKWLYUH,WO-2025247,No,None,Assembly Error
SUP-05,Prime Casting Solutions,Japan,303-PQR,Door Lock Module,9BLB8MC6NZLS9A2B1,WO-2025163,No,None,Material Defect
SUP-02,Precision Motion Works,Germany,303-PQR,Door Lock Module,BPBY3Y13BN1J97DTS,WO-2025194,No,None,Sensor Fault
SUP-02,Precision Motion Works,Germany,123-ABC,Front Axle Assembly,PGJV68PETR180TBAE,WO-2025254,No,None,Assembly Error
SUP-11,Vector Drive Components,USA,789-GHI,Steering Rack,4SFVS984JAVKE2324,WO-2025210,No,None,Material Defect
SUP-11,Vector Drive Components,USA,789-GHI,Steering Rack,URFVEPEZUZ189F9V6,WO-2025119,No,None,Torque Failure
SUP-05,Prime Casting Solutions,Japan,202-MNO,Brake Cylinder,67PNMMMF229AZKR3J,WO-2025253,No,None,
SUP-05,Prime Casting Solutions,Japan,101-JKL,Battery Cooling Harness,P5LDX4R231Y4PBKKR,WO-2025164,No,None,
SUP-09,Nova Sensor Systems,South Korea,123-ABC,Front Axle Assembly,VDUMJ53UHTM96FF31,WO-2025170,No,None,
SUP-05,Prime Casting Solutions,Japan,101-JKL,Battery Cooling Harness,J7CZTBW6SBJB2N0NY,WO-2025135,Yes,Repair,
SUP-02,Precision Motion Works,Germany,101-JKL,Battery Cooling Harness,EU1UA0YWMPF0BLJ3N,WO-2025180,No,None,Assembly Error
SUP-02,Precision Motion Works,Germany,101-JKL,Battery Cooling Harness,9WHP4DF4KY1G9DSAZ,WO-2025298,No,None,
SUP-09,Nova Sensor Systems,South Korea,789-GHI,Steering Rack,WHN848AW3G61993A9,WO-2025085,Yes,None,
SUP-09,Nova Sensor Systems,South Korea,789-GHI,Steering Rack,1AJ32S464V4LEHF15,WO-2025232,No,None,Assembly Error
SUP-01,Atlas Fasteners,India,303-PQR,Door Lock Module,795W3KSA7Y0WZ84P6,WO-2025266,No,None,
SUP-09,Nova Sensor Systems,South Korea,456-DEF,Rear Suspension Module,B28B9SCL4N5V8HN2B,WO-2025152,No,None,Torque Failure
SUP-01,Atlas Fasteners,India,303-PQR,Door Lock Module,9LXEYVFMTJBX9ZWMY,WO-2025299,No,Reject,Material Defect
SUP-02,Precision Motion Works,Germany,123-ABC,Front Axle Assembly,N74RF4JP3YM43P8JP,WO-2025092,No,None,
SUP-01,Atlas Fasteners,India,202-MNO,Brake Cylinder,F8K5GBABPJ1TE8X9V,WO-2025117,No,None,Torque Failure
SUP-05,Prime Casting Solutions,Japan,101-JKL,Battery Cooling Harness,A7RGZYV66XKZZK9WJ,WO-2025223,No,None,Material Defect
SUP-01,Atlas Fasteners,India,202-MNO,Brake Cylinder,YC8U28U1TAYU8KG44,WO-2025030,No,None,Material Defect
SUP-02,Precision Motion Works,Germany,303-PQR,Door Lock Module,ZMV5917HF3FPF72PZ,WO-2025001,No,None,Sensor Fault
SUP-05,Prime Casting Solutions,Japan,202-MNO,Brake Cylinder,6XFUM17ZMBNBPT8AA,WO-2025073,No,None,Sensor Fault
SUP-11,Vector Drive Components,USA,456-DEF,Rear Suspension Module,91994W5RENGTXCE5A,WO-2025282,No,Reject,Sensor Fault
SUP-09,Nova Sensor Systems,South Korea,303-PQR,Door Lock Module,TWJPRX6DUK7N8LA21,WO-2025011,No,None,
SUP-09,Nova Sensor Systems,South Korea,456-DEF,Rear Suspension Module,000Y6B2KLWHN4P0PD,WO-2025126,No,None,Assembly Error
SUP-09,Nova Sensor Systems,South Korea,303-PQR,Door Lock Module,616N9TT7U30CW4VLC,WO-2025006,No,None,Sensor Fault
SUP-01,Atlas Fasteners,India,123-ABC,Front Axle Assembly,6WFUWZEZK3MD7Y730,WO-2025037,No,None,
SUP-02,Precision Motion Works,Germany,101-JKL,Battery Cooling Harness,VRWK8T6DDKDENU3DT,WO-2025262,No,None,Assembly Error
SUP-01,Atlas Fasteners,India,789-GHI,Steering Rack,CD6T1R7PC1SRDYYTZ,WO-2025107,No,None,Material Defect
SUP-05,Prime Casting Solutions,Japan,789-GHI,Steering Rack,UF1RU6VTPVXEHAJHJ,WO-2025123,No,None,Torque Failure
SUP-09,Nova Sensor Systems,South Korea,456-DEF,Rear Suspension Module,MZ46LEFTAWEM04LK5,WO-2025228,No,None,
SUP-05,Prime Casting Solutions,Japan,202-MNO,Brake Cylinder,MZXF5SDZLX4STXG4P,WO-2025129,No,None,
SUP-02,Precision Motion Works,Germany,303-PQR,Door Lock Module,4XBWDDU8NCHD8MEYY,WO-2025149,No,None,
SUP-11,Vector Drive Components,USA,123-ABC,Front Axle Assembly,5BLX4N9HAYGE73BZN,WO-2025156,No,None,Assembly Error
SUP-05,Prime Casting Solutions,Japan,789-GHI,Steering Rack,8L5KBUT6GTC3GLD3U,WO-2025279,No,None,
SUP-01,Atlas Fasteners,India,123-ABC,Front Axle Assembly,C588J4TBBMPM34TGW,WO-2025215,No,None,
SUP-09,Nova Sensor Systems,South Korea,303-PQR,Door Lock Module,PMW3YCDZK0Y65MWEM,WO-2025005,No,None,Material Defect
SUP-02,Precision Motion Works,Germany,789-GHI,Steering Rack,6FZX9ZKGDP3CKK4VA,WO-2025245,No,None,Sensor Fault
SUP-05,Prime Casting Solutions,Japan,202-MNO,Brake Cylinder,0M4HY5ZCTHZSNTM32,WO-2025040,No,None,Material Defect
SUP-09,Nova Sensor Systems,South Korea,456-DEF,Rear Suspension Module,ETSA00YWKK0CPHY0B,WO-2025297,No,None,Torque Failure
SUP-05,Prime Casting Solutions,Japan,789-GHI,Steering Rack,D76U0N9CDE4CVR8HJ,WO-2025012,No,None,Sensor Fault
SUP-09,Nova Sensor Systems,South Korea,456-DEF,Rear Suspension Module,09LFER95K4AXLAT1X,WO-2025083,No,None,Torque Failure
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,JE8JN8WG3MD7V0G45,WO-2025294,No,None,
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,JU5YJPLZK4XX8PTV7,WO-2025251,No,None,
SUP-02,Precision Motion Works,Germany,456-DEF,Rear Suspension Module,GVG81JX0GPWS2WNR6,WO-2025235,No,None,
SUP-09,Nova Sensor Systems,South Korea,789-GHI,Steering Rack,0UJ89WW2FFPES2SVC,WO-2025100,No,None,Material Defect
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,L70VNSB8NFL4DGLE8,WO-2025225,No,None,Material Defect
SUP-11,Vector Drive Components,USA,123-ABC,Front Axle Assembly,5BLX4N9HAYGE73BZN,WO-2025156,No,None,Sensor Fault
SUP-05,Prime Casting Solutions,Japan,101-JKL,Battery Cooling Harness,F6C8NNLKNXV9ZYZ12,WO-2025176,No,None,
SUP-05,Prime Casting Solutions,Japan,789-GHI,Steering Rack,8L5KBUT6GTC3GLD3U,WO-2025279,No,Repair,Torque Failure
SUP-09,Nova Sensor Systems,South Korea,101-JKL,Battery Cooling Harness,9A43Y44YVEDSJ5P0C,WO-2025088,No,None,Sensor Fault
SUP-05,Prime Casting Solutions,Japan,789-GHI,Steering Rack,E6JDW0LTG5CTPAA0D,WO-2025292,No,None,
SUP-09,Nova Sensor Systems,South Korea,123-ABC,Front Axle Assembly,BA0TY9SSTNDZ1ETH5,WO-2025293,No,None,Sensor Fault
SUP-09,Nova Sensor Systems,South Korea,456-DEF,Rear Suspension Module,KEL05UP0N32UC4U4Y,WO-2025035,No,None,
SUP-05,Prime Casting Solutions,Japan,123-ABC,Front Axle Assembly,XP8WN67KR54TWGS0X,WO-2025141,Yes,None,
SUP-05,Prime Casting Solutions,Japan,456-DEF,Rear Suspension Module,5FUM7TBTYCZ643M34,WO-2025138,No,None,Torque Failure
SUP-05,Prime Casting Solutions,Japan,789-GHI,Steering Rack,T2DYKNYW6Z6J0UTGY,WO-2025102,No,None,Sensor Fault
SUP-02,Precision Motion Works,Germany,456-DEF,Rear Suspension Module,JN6MZ7W0V88GLNHA3,WO-2025213,No,None,Torque Failure
SUP-05,Prime Casting Solutions,Japan,202-MNO,Brake Cylinder,ARGH43P4G1HDDPBB5,WO-2025234,No,Repair,Assembly Error
SUP-02,Precision Motion Works,Germany,303-PQR,Door Lock Module,AD1CGA65UCXBAKPCZ,WO-2025144,No,None,Assembly Error
SUP-05,Prime Casting Solutions,Japan,123-ABC,Front Axle Assembly,CXDW97088CBDPKECS,WO-2025084,No,None,Sensor Fault
SUP-11,Vector Drive Components,USA,456-DEF,Rear Suspension Module,JCEJMN9LPJSXHTS34,WO-2025276,No,Repair,Material Defect
SUP-05,Prime Casting Solutions,Japan,456-DEF,Rear Suspension Module,5Z99BA26REY4ZL4FV,WO-2025181,No,None,Sensor Fault
SUP-01,Atlas Fasteners,India,303-PQR,Door Lock Module,S4FHVRSKRMN8YC619,WO-2025093,No,None,Assembly Error
SUP-11,Vector Drive Components,USA,303-PQR,Door Lock Module,6TUNX8EY6XASRW3YN,WO-2025125,No,None,Torque Failure
SUP-05,Prime Casting Solutions,Japan,789-GHI,Steering Rack,FTJNRNZN5SDCHKXLN,WO-2025270,No,None,Assembly Error
SUP-11,Vector Drive Components,USA,789-GHI,Steering Rack,UYSTAAZE8T3XCZ6G2,WO-2025185,No,Repair,Torque Failure
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,JTAWRY1Y1CCDED7U0,WO-2025283,No,None,
SUP-11,Vector Drive Components,USA,789-GHI,Steering Rack,9K3GKA4MH1N6P9T7L,WO-2025109,No,None,
SUP-02,Precision Motion Works,Germany,123-ABC,Front Axle Assembly,N74RF4JP3YM43P8JP,WO-2025092,No,None,Torque Failure
SUP-01,Atlas Fasteners,India,789-GHI,Steering Rack,0N0S8GBJXAWLFDJZV,WO-2025182,No,None,Material Defect
SUP-11,Vector Drive Components,USA,123-ABC,Front Axle Assembly,BWKL084FDSPZF2JYJ,WO-2025277,No,None,
SUP-09,Nova Sensor Systems,South Korea,303-PQR,Door Lock Module,KA2DLVBLLE4A3F77T,WO-2025078,No,None,Assembly Error
SUP-09,Nova Sensor Systems,South Korea,789-GHI,Steering Rack,K5E0T96KX1PN524KT,WO-2025066,No,None,
SUP-11,Vector Drive Components,USA,123-ABC,Front Axle Assembly,XPN6EAXD3HAWY66LE,WO-2025086,No,None,
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,T7EDF0DMMCMCPCP3Z,WO-2025055,No,Repair,Material Defect
SUP-02,Precision Motion Works,Germany,101-JKL,Battery Cooling Harness,B6VAXZ0X7X34446PP,WO-2025212,No,None,Sensor Fault
SUP-11,Vector Drive Components,USA,303-PQR,Door Lock Module,LPSEBSX2GVKB6MY01,WO-2025137,No,None,
SUP-05,Prime Casting Solutions,Japan,456-DEF,Rear Suspension Module,A1RY99DBK4ERBP127,WO-2025082,No,None,Sensor Fault
SUP-11,Vector Drive Components,USA,123-ABC,Front Axle Assembly,H6GB6R8KG8SU28R7V,WO-2025038,No,None,Material Defect
SUP-01,Atlas Fasteners,India,789-GHI,Steering Rack,XKB08A16Z6MHGA80P,WO-2025173,No,None,Material Defect
SUP-09,Nova Sensor Systems,South Korea,456-DEF,Rear Suspension Module,AYTJEA5Y45BYK26RX,WO-2025222,Yes,None,Assembly Error
SUP-02,Precision Motion Works,Germany,303-PQR,Door Lock Module,9KC7EV3D69S53BG14,WO-2025246,No,None,Sensor Fault
SUP-09,Nova Sensor Systems,South Korea,789-GHI,Steering Rack,WHN848AW3G61993A9,WO-2025085,No,None,Assembly Error
SUP-01,Atlas Fasteners,India,303-PQR,Door Lock Module,8U5EPA48SMPAT8RR4,WO-2025202,No,None,
SUP-11,Vector Drive Components,USA,303-PQR,Door Lock Module,18VGBYR71TB1FG24V,WO-2025231,No,None,
SUP-01,Atlas Fasteners,India,789-GHI,Steering Rack,5RDTYDPVACWXLTGZ8,WO-2025015,No,None,Torque Failure
SUP-05,Prime Casting Solutions,Japan,202-MNO,Brake Cylinder,DX29RHBCHVAV56J69,WO-2025168,No,None,
SUP-11,Vector Drive Components,USA,789-GHI,Steering Rack,BNY0V2EMUY115012L,WO-2025024,No,None,Material Defect
SUP-11,Vector Drive Components,USA,101-JKL,Battery Cooling Harness,KXEF3MXV5CFHLKJYJ,WO-2025018,No,None,Torque Failure
SUP-11,Vector Drive Components,USA,202-MNO,Brake Cylinder,YAPTRM6SFFUYX72S4,WO-2025002,No,None,Material Defect
SUP-05,Prime Casting Solutions,Japan,303-PQR,Door Lock Module,BUJRKB4PRDBRFMM6G,WO-2025174,No,None,
SUP-11,Vector Drive Components,USA,303-PQR,Door Lock Module,PPZ23CM5AFR71S2PA,WO-2025113,No,None,
SUP-02,Precision Motion Works,Germany,789-GHI,Steering Rack,RC7YAG6JY5S9SFNEX,WO-2025123,No,None,
SUP-05,Prime Casting Solutions,Japan,303-PQR,Door Lock Module,9BLB8MC6NZLS9A2B1,WO-2025163,No,None,Sensor Fault
SUP-01,Atlas Fasteners,India,789-GHI,Steering Rack,CD6T1R7PC1SRDYYTZ,WO-2025107,Yes,Reject,Torque Failure
SUP-02,Precision Motion Works,Germany,303-PQR,Door Lock Module,BXZVHX0JVF0M8GDW2,WO-2025221,No,None,
SUP-09,Nova Sensor Systems,South Korea,123-ABC,Front Axle Assembly,DS5YZFC4KL8CFN1V6,WO-2025013,Yes,None,
SUP-09,Nova Sensor Systems,South Korea,789-GHI,Steering Rack,1AJ32S464V4LEHF15,WO-2025232,No,None,Sensor Fault
SUP-01,Atlas Fasteners,India,456-DEF,Rear Suspension Module,AGN3BHBLEDJF19ND3,WO-2025203,No,None,Material Defect
SUP-02,Precision Motion Works,Germany,303-PQR,Door Lock Module,6BSZRPDNPCK03AF4U,WO-2025239,No,None,Assembly Error
SUP-01,Atlas Fasteners,India,202-MNO,Brake Cylinder,YC8U28U1TAYU8KG44,WO-2025030,Yes,None,Material Defect
SUP-05,Prime Casting Solutions,Japan,789-GHI,Steering Rack,UF1RU6VTPVXEHAJHJ,WO-2025123,No,None,Assembly Error
SUP-09,Nova Sensor Systems,South Korea,202-MNO,Brake Cylinder,V2PYHEDYK42XBHVFN,WO-2025053,No,None,
SUP-09,Nova Sensor Systems,South Korea,123-ABC,Front Axle Assembly,CE62WNX65B4EZS2U4,WO-2025041,No,None,Assembly Error
SUP-02,Precision Motion Works,Germany,303-PQR,Door Lock Module,9KC7EV3D69S53BG14,WO-2025246,No,None,
SUP-11,Vector Drive Components,USA,202-MNO,Brake Cylinder,6ARZY5L4PEUTUB0B7,WO-2025031,No,None,Material Defect
SUP-05,Prime Casting Solutions,Japan,123-ABC,Front Axle Assembly,C1PADTKV0FKG8XYRU,WO-2025106,No,None,Material Defect
SUP-02,Precision Motion Works,Germany,789-GHI,Steering Rack,D8B2AM1HGC0TNPL8X,WO-2025127,Yes,None,Assembly Error
SUP-05,Prime Casting Solutions,Japan,789-GHI,Steering Rack,3K9JB79ZK65XRPLRF,WO-2025070,No,None,
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,AE9CVW2FHCV5MP7GD,WO-2025240,No,None,Assembly Error
SUP-11,Vector Drive Components,USA,101-JKL,Battery Cooling Harness,KXEF3MXV5CFHLKJYJ,WO-2025018,No,None,Assembly Error
SUP-05,Prime Casting Solutions,Japan,456-DEF,Rear Suspension Module,S58LZ8511LNKKVP4K,WO-2025046,No,None,Sensor Fault
SUP-05,Prime Casting Solutions,Japan,123-ABC,Front Axle Assembly,VFXHR7TTK58GDFHWJ,WO-2025128,No,None,
SUP-05,Prime Casting Solutions,Japan,789-GHI,Steering Rack,B8457BFZX373WJVAC,WO-2025115,No,None,
SUP-05,Prime Casting Solutions,Japan,123-ABC,Front Axle Assembly,Y8S4MV61CU9SB63K7,WO-2025124,No,None,Torque Failure
SUP-02,Precision Motion Works,Germany,789-GHI,Steering Rack,3CRZU9F2PL5X0D4NK,WO-2025122,No,None,Sensor Fault
SUP-01,Atlas Fasteners,India,101-JKL,Battery Cooling Harness,13C534E4CG52D7286,WO-2025274,No,None,
SUP-01,Atlas Fasteners,India,123-ABC,Front Axle Assembly,FLLDMGLXY5WDUUMF2,WO-2025295,No,None,Torque Failure
SUP-05,Prime Casting Solutions,Japan,101-JKL,Battery Cooling Harness,U3TWZ65RJ3XJJ807C,WO-2025157,No,None,Material Defect
SUP-09,Nova Sensor Systems,South Korea,456-DEF,Rear Suspension Module,000Y6B2KLWHN4P0PD,WO-2025126,No,Reject,Sensor Fault
SUP-02,Precision Motion Works,Germany,123-ABC,Front Axle Assembly,8CV57TPB0DS7JAMJM,WO-2025042,No,None,Assembly Error
SUP-01,Atlas Fasteners,India,789-GHI,Steering Rack,YK9G33UN6SACUU5MZ,WO-2025229,No,None,Torque Failure
SUP-01,Atlas Fasteners,India,303-PQR,Door Lock Module,PUVY6J2ZFTLSZP891,WO-2025193,No,None,Torque Failure
SUP-05,Prime Casting Solutions,Japan,101-JKL,Battery Cooling Harness,5HK1B6F84YA061XZZ,WO-2025296,No,None,Sensor Fault
SUP-01,Atlas Fasteners,India,456-DEF,Rear Suspension Module,DJYFXVYY8L3DDH1VZ,WO-2025010,No,None,Assembly Error
SUP-11,Vector Drive Components,USA,303-PQR,Door Lock Module,VMJK509TWKMCY50PG,WO-2025096,No,None,Material Defect
SUP-02,Precision Motion Works,Germany,456-DEF,Rear Suspension Module,ZDF2KH27UBT5CKFEX,WO-2025103,No,None,
SUP-01,Atlas Fasteners,India,456-DEF,Rear Suspension Module,DHXYCX6ZSA75DC1UY,WO-2025200,No,None,Material Defect
SUP-01,Atlas Fasteners,India,789-GHI,Steering Rack,YK9G33UN6SACUU5MZ,WO-2025229,No,Reject,Torque Failure
SUP-11,Vector Drive Components,USA,123-ABC,Front Axle Assembly,XPN6EAXD3HAWY66LE,WO-2025086,No,None,Assembly Error
SUP-11,Vector Drive Components,USA,456-DEF,Rear Suspension Module,NZ3J6X91DXTN4VHZY,WO-2025224,No,Repair,Torque Failure
SUP-09,Nova Sensor Systems,South Korea,101-JKL,Battery Cooling Harness,9A43Y44YVEDSJ5P0C,WO-2025088,No,None,Assembly Error
SUP-02,Precision Motion Works,Germany,123-ABC,Front Axle Assembly,S9DPVEMFL7CAPXYRK,WO-2025199,No,None,Assembly Error
SUP-09,Nova Sensor Systems,South Korea,456-DEF,Rear Suspension Module,MZ46LEFTAWEM04LK5,WO-2025228,No,None,Assembly Error
SUP-09,Nova Sensor Systems,South Korea,123-ABC,Front Axle Assembly,BA0TY9SSTNDZ1ETH5,WO-2025293,No,None,Torque Failure
SUP-01,Atlas Fasteners,India,789-GHI,Steering Rack,3VYTUL7FFFR2GX3KV,WO-2025249,No,None,Material Defect
